Code,Description,Source URL
A39.8,Other meningococcal infections Incl.: Meningococcal: arthritis† (M01.0*) conjunctivitis† (H13.1*) encephalitis† (G05.0*) retrobulbar neuritis† (H48.1*) Postmeningococcal arthritis† (M03.0*),https://icd.who.int/browse10/2019/en#/A30-A49
A39.9,"Meningococcal infection, unspecified Incl.: Meningococcal disease NOS",https://icd.who.int/browse10/2019/en#/A30-A49
A40,"Streptococcal sepsis Coding-Hint Use additional code (R57.2) if desired, to identify septic shock. Excl.: during labour (O75.3) following: abortion or ectopic or molar pregnancy (O03-O07, O08.0) immunization (T88.0) infusion, transfusion or therapeutic injection (T80.2) neonatal (P36.0-P36.1) postprocedural (T81.4) puerperal (O85)",https://icd.who.int/browse10/2019/en#/A30-A49
A40.0,"Sepsis due to streptococcus, group A",https://icd.who.int/browse10/2019/en#/A30-A49
A40.1,"Sepsis due to streptococcus, group B",https://icd.who.int/browse10/2019/en#/A30-A49
A40.2,"Sepsis due to streptococcus, group D and enterococcus",https://icd.who.int/browse10/2019/en#/A30-A49
A40.3,Sepsis due to Streptococcus pneumoniae Incl.: Pneumococcal sepsis,https://icd.who.int/browse10/2019/en#/A30-A49
A40.8,Other streptococcal sepsis,https://icd.who.int/browse10/2019/en#/A30-A49
A40.9,"Streptococcal sepsis, unspecified",https://icd.who.int/browse10/2019/en#/A30-A49
A41,"Other sepsis Coding-Hint Use additional code (R57.2) if desired, to identify septic shock. Excl.: bacteraemia NOS (A49.9) during labour (O75.3) following: abortion or ectopic or molar pregnancy (O03-O07, O08.0) immunization (T88.0) infusion, transfusion or therapeutic injection (T80.2) sepsis (due to)(in): actinomycotic (A42.7) anthrax (A22.7) candidal (B37.7) Erysipelothrix (A26.7) extraintestinal yersiniosis (A28.2) gonococcal (A54.8) herpesviral (B00.7) listerial (A32.7) meningococcal (A39.2-A39.4) neonatal (P36.-) postprocedural (T81.4) puerperal (O85) streptococcal (A40.-) tularaemia (A21.7) septic: melioidosis (A24.1) plague (A20.7) toxic shock syndrome (A48.3)",https://icd.who.int/browse10/2019/en#/A30-A49
A41.0,Sepsis due to Staphylococcus aureus,https://icd.who.int/browse10/2019/en#/A30-A49
A41.1,Sepsis due to other specified staphylococcus Incl.: Sepsis due to coagulase-negative staphylococcus,https://icd.who.int/browse10/2019/en#/A30-A49
A41.2,Sepsis due to unspecified staphylococcus,https://icd.who.int/browse10/2019/en#/A30-A49
A41.3,Sepsis due to Haemophilus influenzae,https://icd.who.int/browse10/2019/en#/A30-A49
A41.4,Sepsis due to anaerobes Excl.: gas gangrene (A48.0),https://icd.who.int/browse10/2019/en#/A30-A49
A41.5,Sepsis due to other Gram-negative organisms Incl.: Gram-negative sepsis NOS,https://icd.who.int/browse10/2019/en#/A30-A49
A41.8,Other specified sepsis,https://icd.who.int/browse10/2019/en#/A30-A49
